DATE,Complaint_Count
2022-06-10,10
2022-06-11,12
2022-06-12,5
2022-06-13,15
2022-06-14,16
2022-06-15,15
2022-06-16,11
2022-06-17,13
2022-06-18,26
2022-06-19,19
2022-06-20,20
2022-06-21,14
2022-06-22,11
2022-06-23,7
2022-06-24,12
2022-06-25,8
2022-06-26,11
2022-06-27,9
2022-06-28,5
2022-06-29,5
2022-06-30,5
2022-07-01,7
2022-07-02,7
2022-07-03,6
2022-07-04,9
2022-07-05,9
2022-07-06,11
2022-07-07,5
2022-07-08,3
2022-07-09,9
2022-07-10,16
2022-07-11,6
2022-07-12,11
2022-07-13,11
2022-07-14,12
2022-07-15,14
2022-07-16,12
2022-07-17,13
2022-07-18,12
2022-07-19,8
2022-07-20,8
2022-07-21,9
2022-07-22,10
2022-07-23,12
2022-07-24,12
2022-07-25,11
2022-07-26,7
2022-07-27,3
2022-07-28,12
2022-07-29,8
2022-07-30,6
2022-07-31,13
2022-08-01,11
2022-08-02,7
2022-08-03,17
2022-08-04,5
2022-08-05,13
2022-08-06,8
2022-08-07,7
2022-08-08,1
2022-08-09,9
2022-08-10,10
2022-08-11,7
2022-08-12,4
2022-08-13,4
2022-08-14,10
2022-08-15,13
2022-08-16,5
2022-08-17,2
2022-08-18,6
2022-08-19,11
2022-08-20,14
2022-08-21,7
2022-08-22,8
2022-08-23,9
2022-08-24,5
2022-08-25,7
2022-08-26,3
2022-08-27,8
2022-08-28,8
2022-08-29,13
2022-08-30,13
2022-08-31,7
2022-09-01,4
2022-09-02,5
2022-09-03,7
2022-09-04,6
2022-09-05,6
2022-09-06,4
2022-09-07,8
2022-09-08,7
2022-09-09,6
2022-09-10,3
2022-09-11,9
2022-09-12,4
2022-09-13,4
2022-09-14,8
2022-09-15,2
2022-09-16,6
2022-09-17,9
2022-09-18,7
2022-09-19,12
2022-09-20,7
2022-09-21,9
2022-09-22,10
2022-09-23,6
2022-09-24,7
2022-09-25,7
2022-09-26,8
2022-09-27,8
2022-09-28,6
2022-09-29,12
2022-09-30,5
2022-10-01,5
2022-10-02,7
2022-10-03,9
2022-10-04,4
2022-10-05,3
2022-10-06,5
2022-10-07,3
2022-10-08,6
2022-10-09,1
2022-10-10,4
2022-10-11,7
2022-10-12,6
2022-10-13,9
2022-10-14,7
2022-10-15,12
2022-10-16,5
2022-10-17,7
2022-10-18,5
2022-10-19,6
2022-10-20,5
2022-10-21,8
2022-10-22,3
2022-10-23,1
2022-10-24,1
2022-10-25,2
2022-10-26,7
2022-10-27,1
2022-10-28,4
2022-10-29,2
2022-10-30,2
2022-10-31,4
2022-11-01,5
2022-11-02,2
2022-11-03,5
2022-11-04,3
2022-11-05,4
2022-11-06,2
2022-11-07,1
2022-11-08,3
2022-11-09,5
2022-11-10,8
2022-11-11,7
2022-11-12,7
2022-11-13,6
2022-11-14,6
2022-11-15,10
2022-11-16,4
2022-11-17,3
2022-11-18,6
2022-11-19,10
2022-11-20,3
2022-11-21,5
2022-11-22,3
2022-11-23,12
2022-11-24,2
2022-11-25,9
2022-11-26,1
2022-11-27,5
2022-11-28,5
2022-11-29,6
2022-11-30,8
2022-12-01,4
2022-12-02,5
2022-12-03,7
2022-12-04,6
2022-12-05,2
2022-12-06,6
2022-12-07,10
2022-12-08,6
2022-12-09,12
2022-12-10,4
2022-12-11,5
2022-12-12,15
2022-12-13,12
2022-12-14,20
2022-12-15,10
2022-12-16,20
2022-12-17,6
2022-12-18,3
2022-12-19,4
2022-12-20,5
2022-12-21,11
2022-12-22,6
2022-12-23,8
2022-12-24,9
2022-12-25,8
2022-12-26,18
2022-12-27,14
2022-12-28,3
2022-12-29,16
2022-12-30,5
2022-12-31,3
2023-01-01,2
2023-01-02,6
2023-01-03,10
2023-01-04,19
2023-01-05,8
2023-01-06,11
2023-01-07,3
2023-01-08,7
2023-01-09,6
2023-01-10,9
2023-01-11,4
2023-01-12,13
2023-01-13,9
2023-01-14,24
2023-01-15,4
2023-01-16,16
2023-01-17,7
2023-01-18,3
2023-01-19,5
2023-01-20,16
2023-01-21,3
2023-01-22,9
2023-01-23,6
2023-01-24,7
2023-01-25,4
2023-01-26,6
2023-01-27,4
2023-01-28,2
2023-01-29,9
2023-01-30,5
2023-01-31,6
2023-02-01,9
2023-02-02,8
2023-02-03,6
2023-02-04,3
2023-02-05,3
2023-02-06,11
2023-02-07,9
2023-02-08,23
2023-02-09,9
2023-02-10,17
2023-02-11,11
2023-02-12,3
2023-02-13,26
2023-02-14,11
2023-02-15,16
2023-02-16,17
2023-02-17,6
2023-02-18,7
2023-02-19,20
2023-02-20,11
2023-02-21,4
2023-02-22,8
2023-02-23,11
2023-02-24,6
2023-02-25,8
2023-02-26,18
2023-02-27,15
2023-02-28,6
2023-03-01,23
2023-03-02,17
2023-03-03,27
2023-03-04,4
2023-03-05,7
2023-03-06,29
2023-03-07,10
2023-03-08,5
2023-03-09,3
2023-03-10,14
2023-03-11,27
2023-03-12,15
2023-03-13,13
2023-03-14,12
2023-03-15,23
2023-03-16,7
2023-03-17,19
2023-03-18,27
2023-03-19,26
2023-03-20,16
2023-03-21,19
2023-03-22,15
2023-03-23,12
2023-03-24,8
2023-03-25,8
2023-03-26,8
2023-03-27,21
2023-03-28,28
2023-03-29,6
2023-03-30,23
2023-03-31,21
2023-04-01,17
2023-04-02,21
2023-04-03,15
2023-04-04,18
2023-04-05,13
2023-04-06,29
2023-04-07,16
2023-04-08,25
2023-04-09,20
2023-04-10,10
2023-04-11,7
2023-04-12,16
2023-04-13,19
2023-04-14,10
2023-04-15,7
2023-04-16,15
2023-04-17,19
2023-04-18,15
2023-04-19,5
2023-04-20,26
2023-04-21,21
2023-04-22,23
2023-04-23,14
2023-04-24,20
2023-04-25,16
2023-04-26,16
2023-04-27,29
2023-04-28,27
2023-04-29,22
2023-04-30,14
2023-05-01,14
2023-05-02,12
2023-05-03,7
2023-05-04,7
2023-05-05,9
2023-05-06,12
2023-05-07,12
2023-05-08,23
2023-05-09,20
2023-05-10,26
2023-05-11,37
2023-05-12,24
2023-05-13,25
2023-05-14,15
2023-05-15,15
2023-05-16,21
2023-05-17,30
2023-05-18,26
2023-05-19,38
2023-05-20,13
2023-05-21,18
2023-05-22,36
2023-05-23,17
2023-05-24,24
2023-05-25,22
2023-05-26,10
2023-05-27,27
2023-05-28,14
2023-05-29,38
2023-05-30,29
2023-05-31,15
2023-06-01,27
2023-06-02,28
2023-06-03,24
2023-06-04,27
2023-06-05,15
2023-06-06,21
2023-06-07,21
2023-06-08,28
2023-06-09,45
2023-06-10,40
2023-06-11,19
2023-06-12,44
2023-06-13,40
2023-06-14,50
2023-06-15,52
2023-06-16,8
2023-06-17,27
2023-06-18,39
2023-06-19,44
2023-06-20,40
2023-06-21,34
2023-06-22,24
2023-06-23,32
2023-06-24,67
2023-06-25,51
2023-06-26,46
2023-06-27,21
2023-06-28,16
2023-06-29,16
2023-06-30,20
2023-07-01,26
2023-07-02,20
2023-07-03,31
2023-07-04,23
2023-07-05,29
2023-07-06,32
2023-07-07,26
2023-07-08,12
2023-07-09,14
2023-07-10,12
2023-07-11,18
2023-07-12,27
2023-07-13,37
2023-07-14,33
2023-07-15,19
2023-07-16,21
2023-07-17,22
2023-07-18,21
2023-07-19,41
2023-07-20,18
2023-07-21,19
2023-07-22,39
2023-07-23,16
2023-07-24,18
2023-07-25,30
2023-07-26,17
2023-07-27,11
2023-07-28,26
2023-07-29,50
2023-07-30,77
2023-07-31,19
2023-08-01,38
2023-08-02,77
2023-08-03,69
2023-08-04,31
2023-08-05,23
2023-08-06,24
2023-08-07,27
2023-08-08,23
2023-08-09,17
2023-08-10,14
2023-08-11,35
2023-08-12,32
2023-08-13,19
2023-08-14,31
2023-08-15,31
2023-08-16,16
2023-08-17,17
2023-08-18,28
2023-08-19,39
2023-08-20,9
2023-08-21,23
2023-08-22,21
2023-08-23,34
2023-08-24,23
2023-08-25,13
2023-08-26,29
2023-08-27,10
2023-08-28,21
2023-08-29,21
2023-08-30,15
2023-08-31,14
2023-09-01,16
2023-09-02,24
2023-09-03,30
2023-09-04,37
2023-09-05,18
2023-09-06,38
2023-09-07,9
2023-09-08,7
2023-09-09,26
2023-09-10,10
2023-09-11,17
2023-09-12,38
2023-09-13,38
2023-09-14,39
2023-09-15,25
2023-09-16,18
2023-09-17,11
2023-09-18,14
2023-09-19,27
2023-09-20,60
2023-09-21,37
2023-09-22,19
2023-09-23,11
2023-09-24,10
2023-09-25,21
2023-09-26,26
2023-09-27,22
2023-09-28,28
2023-09-29,47
2023-09-30,29
2023-10-01,19
2023-10-02,50
2023-10-03,25
2023-10-04,21
2023-10-05,18
2023-10-06,35
2023-10-07,16
2023-10-08,14
2023-10-09,16
2023-10-10,16
2023-10-11,7
2023-10-12,21
2023-10-13,30
2023-10-14,16
2023-10-15,6
2023-10-16,9
2023-10-17,23
2023-10-18,31
2023-10-19,7
2023-10-20,16
2023-10-21,7
2023-10-22,5
2023-10-23,5
2023-10-24,4
2023-10-25,2
2023-10-26,15
2023-10-27,7
2023-10-28,14
2023-10-29,6
2023-10-30,5
2023-10-31,14
2023-11-01,8
2023-11-02,9
2023-11-03,14
2023-11-04,13
2023-11-05,18
2023-11-06,13
2023-11-07,29
2023-11-08,19
2023-11-09,19
2023-11-10,18
2023-11-11,16
2023-11-12,4
2023-11-13,3
2023-11-14,12
2023-11-15,11
2023-11-16,10
2023-11-17,14
2023-11-18,8
2023-11-19,13
2023-11-20,14
2023-11-21,6
2023-11-22,4
2023-11-23,9
2023-11-24,12
2023-11-25,10
2023-11-26,3
2023-11-27,3
2023-11-28,3
2023-11-29,5
2023-11-30,6
2023-12-01,10
2023-12-02,11
2023-12-03,18
2023-12-04,13
2023-12-05,10
2023-12-06,31
2023-12-07,20
2023-12-08,15
2023-12-09,7
2023-12-10,6
2023-12-11,12
2023-12-12,14
2023-12-13,10
2023-12-14,8
2023-12-15,6
2023-12-16,11
2023-12-17,2
2023-12-18,14
2023-12-19,11
2023-12-20,7
2023-12-21,6
2023-12-22,4
2023-12-23,9
2023-12-24,9
2023-12-25,6
2023-12-26,4
2023-12-27,15
2023-12-28,5
2023-12-29,1
2023-12-30,4
2023-12-31,1
2024-01-01,5
2024-01-02,6
2024-01-03,8
2024-01-04,10
2024-01-05,10
2024-01-06,10
2024-01-07,5
2024-01-08,10
2024-01-09,2
2024-01-10,13
2024-01-11,9
2024-01-12,8
2024-01-13,6
2024-01-14,4
2024-01-16,5
2024-01-17,7
2024-01-18,4
2024-01-19,13
2024-01-20,27
2024-01-21,13
2024-01-22,9
2024-01-23,15
2024-01-24,14
2024-01-25,7
2024-01-26,5
2024-01-27,7
2024-01-28,3
2024-01-29,18
2024-01-30,15
2024-01-31,6
2024-02-01,12
2024-02-02,22
2024-02-03,1
2024-02-04,6
2024-02-05,10
2024-02-06,12
2024-02-07,5
2024-02-08,4
2024-02-09,10
2024-02-10,12
2024-02-11,11
2024-02-12,22
2024-02-13,19
2024-02-14,8
2024-02-15,6
2024-02-16,19
2024-02-17,2
2024-02-18,9
2024-02-19,12
2024-02-20,15
2024-02-21,16
2024-02-22,27
2024-02-23,3
2024-02-24,9
2024-02-25,12
2024-02-26,27
2024-02-27,21
2024-02-28,17
2024-02-29,11
2024-03-01,11
2024-03-02,11
2024-03-03,12
2024-03-04,11
2024-03-05,11
2024-03-06,10
2024-03-07,19
2024-03-08,4
2024-03-09,6
2024-03-10,14
2024-03-11,9
2024-03-12,20
2024-03-13,17
2024-03-14,13
2024-03-15,24
2024-03-16,14
2024-03-17,29
2024-03-18,19
2024-03-19,32
2024-03-20,44
2024-03-21,15
2024-03-22,23
2024-03-23,30
2024-03-24,19
2024-03-25,38
2024-03-26,29
2024-03-27,13
2024-03-28,25
2024-03-29,20
2024-03-30,15
2024-03-31,29
2024-04-01,33
2024-04-02,24
2024-04-03,35
2024-04-04,33
2024-04-05,38
2024-04-06,28
2024-04-07,27
2024-04-08,33
2024-04-09,23
2024-04-10,22
2024-04-11,47
2024-04-12,37
2024-04-13,22
2024-04-14,15
2024-04-15,27
2024-04-16,22
2024-04-17,40
2024-04-18,28
2024-04-19,26
2024-04-20,32
2024-04-21,45
2024-04-22,28
2024-04-23,24
2024-04-24,23
2024-04-25,24
2024-04-26,27
2024-04-27,48
2024-04-28,24
2024-04-29,27
2024-04-30,21
2024-05-01,51
2024-05-02,27
2024-05-03,19
2024-05-04,14
2024-05-05,8
2024-05-06,24
2024-05-07,31
2024-05-08,33
2024-05-09,36
2024-05-10,48
2024-05-11,24
2024-05-12,35
2024-05-13,37
2024-05-14,30
2024-05-15,28
2024-05-16,18
2024-05-17,35
2024-05-18,25
2024-05-19,14
2024-05-20,19
2024-05-21,66
2024-05-22,47
2024-05-23,36
2024-05-24,41
2024-05-25,24
2024-05-26,51
2024-05-27,53
2024-05-28,69
2024-05-29,101
2024-05-30,145
2024-05-31,78
2024-06-01,149
2024-06-02,181
2024-06-03,94
2024-06-04,62
2024-06-05,34
2024-06-06,26
2024-06-07,39
2024-06-08,43
2024-06-09,56
2024-06-10,45
2024-06-11,63
2024-06-12,48
2024-06-13,46
2024-06-14,87
2024-06-15,57
2024-06-16,97
2024-06-17,28
2024-06-18,57
2024-06-19,32
2024-06-20,59
2024-06-21,43
2024-06-22,39
2024-06-23,39
2024-06-24,35
2024-06-25,41
2024-06-26,74
2024-06-27,51
2024-06-28,48
2024-06-29,71
2024-06-30,31
2024-07-01,20
2024-07-02,14
2024-07-03,36
2024-07-04,44
2024-07-05,28
2024-07-06,39
2024-07-07,33
2024-07-08,46
2024-07-09,27
2024-07-10,19
2024-07-11,25
2024-07-12,29
2024-07-13,46
2024-07-14,31
2024-07-15,28
2024-07-16,37
2024-07-17,35
2024-07-18,29
2024-07-19,38
2024-07-20,49
2024-07-21,39
2024-07-22,28
2024-07-23,34
2024-07-24,46
2024-07-25,34
2024-07-26,39
2024-07-27,26
2024-07-28,29
2024-07-29,33
2024-07-30,38
2024-07-31,48
2024-08-01,21
2024-08-02,28
2024-08-03,19
2024-08-04,34
2024-08-05,27
2024-08-06,55
2024-08-07,58
2024-08-08,20
2024-08-09,9
2024-08-10,36
2024-08-11,23
2024-08-12,31
2024-08-13,42
2024-08-14,18
2024-08-15,29
2024-08-16,19
2024-08-17,26
2024-08-18,28
2024-08-19,21
2024-08-20,36
2024-08-21,30
2024-08-22,36
2024-08-23,33
2024-08-24,30
2024-08-25,32
2024-08-26,41
2024-08-27,30
2024-08-28,31
2024-08-29,39
2024-08-30,44
2024-08-31,40
2024-09-01,19
2024-09-02,18
2024-09-03,46
2024-09-04,30
2024-09-05,25
2024-09-06,25
2024-09-07,73
2024-09-08,129
2024-09-09,92
2024-09-10,53
2024-09-11,36
2024-09-12,16
2024-09-13,33
2024-09-14,35
2024-09-15,34
2024-09-16,30
2024-09-17,21
2024-09-18,35
2024-09-19,34
2024-09-20,36
2024-09-21,32
2024-09-22,61
2024-09-23,76
2024-09-24,111
2024-09-25,59
2024-09-26,64
2024-09-27,32
2024-09-28,16
2024-09-29,37
2024-09-30,33
2024-10-01,46
2024-10-02,22
2024-10-03,26
2024-10-04,20
2024-10-05,33
2024-10-06,16
2024-10-07,29
2024-10-08,43
2024-10-09,31
2024-10-10,26
2024-10-11,17
2024-10-12,17
2024-10-13,10
2024-10-14,14
2024-10-15,18
2024-10-16,18
2024-10-17,20
2024-10-18,13
2024-10-19,31
2024-10-20,28
2024-10-21,20
2024-10-22,25
2024-10-23,29
2024-10-24,47
2024-10-25,26
2024-10-26,18
2024-10-27,41
2024-10-28,20
2024-10-29,22
2024-10-30,17
2024-10-31,17
2024-11-01,6
2024-11-02,21
2024-11-03,7
2024-11-04,26
2024-11-05,33
2024-11-06,18
2024-11-07,31
2024-11-08,19
2024-11-09,15
2024-11-10,37
2024-11-11,32
2024-11-12,20
2024-11-13,24
2024-11-14,13
2024-11-15,13
2024-11-16,30
2024-11-17,24
2024-11-18,20
2024-11-19,25
2024-11-20,13
2024-11-21,26
2024-11-22,17
2024-11-23,23
2024-11-24,4
2024-11-25,19
2024-11-26,31
2024-11-27,12
2024-11-28,22
2024-11-29,31
2024-11-30,32
2024-12-01,38
2024-12-02,15
2024-12-03,21
2024-12-04,13
2024-12-05,25
2024-12-06,18
2024-12-07,29
2024-12-08,27
2024-12-09,18
2024-12-10,13
2024-12-11,71
2024-12-12,41
2024-12-13,31
2024-12-14,23
2024-12-15,14
2024-12-16,36
2024-12-17,25
2024-12-18,11
2024-12-19,39
2024-12-20,31
2024-12-21,17
2024-12-22,8
2024-12-23,18
2024-12-24,27
2024-12-25,25
2024-12-26,31
2024-12-27,25
2024-12-28,15
2024-12-29,11
2024-12-30,5
2024-12-31,18
2025-01-01,4
2025-01-02,3
2025-01-03,15
2025-01-04,29
2025-01-05,13
2025-01-06,16
2025-01-07,17
2025-01-08,6
2025-01-09,12
2025-01-10,19
2025-01-11,25
2025-01-12,25
2025-01-13,16
2025-01-14,26
2025-01-15,13
2025-01-16,21
2025-01-17,16
2025-01-18,10
2025-01-19,8
2025-01-20,21
2025-01-21,11
2025-01-22,5
2025-01-23,10
2025-01-24,9
2025-01-25,26
2025-01-26,23
2025-01-27,11
2025-01-28,14
2025-01-29,9
2025-01-30,12
2025-01-31,28
2025-02-01,44
2025-02-02,22
2025-02-03,26
2025-02-04,13
2025-02-05,40
2025-02-06,27
2025-02-07,14
2025-02-08,18
2025-02-09,24
2025-02-10,23
2025-02-11,17
2025-02-12,24
2025-02-13,19
2025-02-14,8
2025-02-15,14
2025-02-16,7
2025-02-17,37
2025-02-18,19
2025-02-19,41
2025-02-20,24
2025-02-21,9
2025-02-22,41
2025-02-23,22
2025-02-24,35
2025-02-25,23
2025-02-26,27
2025-02-27,14
2025-02-28,38
2025-03-01,26
2025-03-02,11
2025-03-03,8
2025-03-04,10
2025-03-05,15
2025-03-06,43
2025-03-07,19
2025-03-08,23
2025-03-09,25
2025-03-10,14
2025-03-11,17
2025-03-12,13
2025-03-13,22
2025-03-14,31
2025-03-15,19
2025-03-16,7
2025-03-17,28
2025-03-18,22
2025-03-19,53
2025-03-20,27
2025-03-21,60
2025-03-22,70
2025-03-23,58
2025-03-24,57
2025-03-25,26
2025-03-26,17
2025-03-27,25
2025-03-28,16
2025-03-29,21
2025-03-30,30
2025-03-31,22
2025-04-01,14
2025-04-02,48
2025-04-03,52
2025-04-04,28
2025-04-05,30
2025-04-06,9
2025-04-07,15
2025-04-08,36
2025-04-09,27
2025-04-10,60
2025-04-11,34
2025-04-12,41
2025-04-13,34
2025-04-14,35
2025-04-15,55
2025-04-16,42
2025-04-17,25
2025-04-18,78
2025-04-19,89
2025-04-20,79
2025-04-21,79
2025-04-22,90
2025-04-23,85
2025-04-24,50
2025-04-25,58
2025-04-26,119
2025-04-27,53
2025-04-28,68
2025-04-29,111
2025-04-30,146
2025-05-01,90
2025-05-02,39
2025-05-03,142
2025-05-04,124
2025-05-05,81
2025-05-06,41
2025-05-07,50
2025-05-08,36
2025-05-09,16
2025-05-10,32
2025-05-11,58
2025-05-12,117
2025-05-13,90
2025-05-14,76
2025-05-15,71
2025-05-16,74
2025-05-17,56
2025-05-18,56
2025-05-19,59
2025-05-20,116
2025-05-21,84
2025-05-22,127
2025-05-23,72
2025-05-24,71
2025-05-25,65
2025-05-26,78
2025-05-27,49
2025-05-28,80
2025-05-29,102
2025-05-30,112
2025-05-31,95
2025-06-01,62
2025-06-02,36
2025-06-03,38
2025-06-04,31
2025-06-05,50
2025-06-06,44
2025-06-07,63
2025-06-08,43
2025-06-09,78
2025-06-10,53
2025-06-11,41
2025-06-12,48
2025-06-13,36
2025-06-14,43
2025-06-15,83
2025-06-16,72
2025-06-17,83
2025-06-18,78
2025-06-19,75
2025-06-20,39
2025-06-21,45
2025-06-22,42
2025-06-23,32
2025-06-24,37
2025-06-25,35
2025-06-26,39
2025-06-27,29
2025-06-28,42
2025-06-29,34
2025-06-30,15
2025-07-01,24
2025-07-02,40
2025-07-03,62
2025-07-04,50
2025-07-05,68
2025-07-06,78
2025-07-07,78
2025-07-08,56
2025-07-09,37
2025-07-10,48
2025-07-11,59
2025-07-12,38
2025-07-13,49
2025-07-14,92
2025-07-15,67
2025-07-16,42
2025-07-17,36
2025-07-18,64
2025-07-19,58
2025-07-20,36
2025-07-21,48
2025-07-22,51
2025-07-23,78
2025-07-24,105
2025-07-25,79
2025-07-26,52
2025-07-27,56
2025-07-28,46
2025-07-29,47
2025-07-30,24
2025-07-31,28
2025-08-01,37
2025-08-02,64
2025-08-03,37
2025-08-04,30
2025-08-05,50
2025-08-06,58
2025-08-07,44
2025-08-08,26
2025-08-09,35
2025-08-10,35
2025-08-11,43
2025-08-12,58
2025-08-13,62
2025-08-14,83
2025-08-15,47
2025-08-16,48
2025-08-17,51
2025-08-18,37
2025-08-19,54
2025-08-20,50
2025-08-21,48
2025-08-22,59
2025-08-23,30
2025-08-24,30
2025-08-25,31
2025-08-26,27
2025-08-27,36
2025-08-28,29
2025-08-29,17
2025-08-30,20
2025-08-31,27
2025-09-01,44
2025-09-02,34
2025-09-03,35
2025-09-04,54
2025-09-05,38
2025-09-06,34
2025-09-07,37
2025-09-08,54
2025-09-09,58
2025-09-10,49
2025-09-11,72
2025-09-12,52
2025-09-13,37
2025-09-14,36
2025-09-15,73
2025-09-16,50
2025-09-17,22
2025-09-18,34
2025-09-19,48
2025-09-20,50
2025-09-21,49
2025-09-22,83
2025-09-23,98
2025-09-24,79
2025-09-25,52
2025-09-26,53
2025-09-27,58
2025-09-28,36
2025-09-29,29
2025-09-30,12
2025-10-01,19
2025-10-02,65
2025-10-03,60
2025-10-04,28
2025-10-05,30
2025-10-06,35
2025-10-07,17
2025-10-08,35
2025-10-09,40
2025-10-10,34
2025-10-11,31
2025-10-12,14
2025-10-13,31
2025-10-14,26
2025-10-15,15
2025-10-16,18
2025-10-17,18
2025-10-18,17
2025-10-19,37
2025-10-20,42
